#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
3880,Logan Hill,664930,664930,sa875822,FA,OF,OF
3881,Logan Hofmann,671987,671987,sa3014852,PIT,SP,SP
3882,Logan Landon,664860,664860,sa875279,FA,OF,OF
3883,Logan Morrison,489149,9205,9205,FA,OF,OF
3884,Logan O’Hoppe,681351,681351,sa3007519,PHI,C,C
3885,Logan Porter,682515,682515,sa3007750,KC,1B,1B
3886,Logan Rinehart,686827,686827,sa3010255,SEA,RP,RP
3887,Logan Salow,676601,676601,sa874231,LAD,RP,RP
3888,Logan Shore,624519,624519,sa738442,DET,SP,SP
3889,Logan Taylor,664162,664162,sa857838,FA,3b,3b
3890,Logan Verrett,548337,12905,12905,WSH,RP,RP
3891,Logan Warmoth,657089,657089,sa3004813,TOR,SS,SS
3892,Logan Webb,657277,657277,17995,SF,SP,SP
3893,Logan Workman,694312,694312,sa3017313,TB,SP,SP
3894,Logan Wyatt,668824,668824,sa3011259,SF,1B,1B
3895,Lorenzo Cain,456715,9077,9077,MIL,OF,OF
3896,Lorenzo Cedrola,661411,661411,sa872850,CIN,OF,OF
3897,Lorenzo Hampton,663469,663469,sa3010678,FA,OF,OF
3898,Lorenzo Quintana,679727,679727,sa3005394,MIA,C,C
3899,Lou Trivino,642152,642152,15043,OAK,RP,RP
3900,Louie Varland,686973,686973,sa3010572,MIN,SP,SP
3901,Louis Head,545343,545343,13259,MIA,RP,RP
3902,Lourdes Gurriel Jr.,666971,666971,19238,TOR,OF,1B/OF
3903,Lowell Burns,669142,669142,sa3014451,CLE,SP,SP
3904,LT Struble,690080,690080,sa3010910,FA,OF,OF
3905,Luarbert Arias,678215,678215,sa3007599,MIA,RP,RP
3906,Luc Rennie,621154,621154,sa658278,FA,SP,SP
