Season,Name,Team,Level,Age,IP,ERA,G,GS,SV,BS,HLD,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,xFIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2022,"Yadiel Rivera","ARI","AAA",30,1,0,1,0,0,0,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,0.4,1,3.9014865875244142,-3.9014865875244142,7.715021234750748,1,0.2,0.4,0.4,0.5,0,0.4,0.4,0.2,0,5,8,13,"11863"
2022,"Michael Feliz","BOS","AAA",29,7.1,6.136366296406788,6,0,0,0,,32,9,5,5,0,3,0,0,1,0,10,12.272732592813576,3.6818197778440727,3.33333333,0,0.3125,0.09375,0.21875,0.31034483,1.6363643457084767,0.47368421,0.58333333,1.9676885778250912,4.168677718581696,3.296037184746897,1.33333333,0.22222222,0.44444444,0.33333333,0.16666667,0,0.68421053,0.21052632,0.10526316,0.15447154,43,80,123,"11903"
2022,"Taylor Cole","BOS","AAA",32,12.1,4.378379506904888,10,0,0,0,,55,13,6,6,0,8,0,1,1,0,12,8.756759013809775,5.83783934253985,1.5,0,0.21818182,0.14545455,0.07272727,0.2826087,1.702703141574123,0.38235294,0.72727273,3.710932533997022,0.6674469729078658,4.764037550809789,1.875,0.3030303,0.45454545,0.24242424,0.25,0,0.35294118,0.17647059,0.47058824,0.17256637,98,128,226,"11964"
2022,"Parker Markel","OAK","AAA",31,17,2.1176470588235294,15,0,0,1,,72,13,5,4,2,9,0,1,1,0,23,12.176470588235293,4.764705882352941,2.55555556,1.0588235294117647,0.31944444,0.125,0.19444444,0.20967742,1.2941176470588236,0.2972973,0.89108911,4.489721881642061,-2.3720748228185315,5.0914030080332475,0.73684211,0.13157895,0.36842105,0.5,0.15789474,0.10526316,0.43589744,0.30769231,0.25641026,0.1442623,115,190,305,"12106"
2022,"Domingo Tapia","OAK","AAA",30,6.1,1.4210533448537248,6,0,0,0,,26,4,1,1,0,2,0,1,0,0,5,7.105266724268624,2.8421066897074496,2.5,0,0.19230769,0.07692308,0.11538461,0.17391304,0.9473688965691499,0.22222222,0.85714286,3.743591771429556,-2.3225384265758313,5.248935150917487,1.6,0.23529412,0.47058824,0.29411765,0,0,0.58823529,0.11764706,0.29411765,0.07920792,43,58,101,"12178"
2022,"Domingo Tapia","KCR","AAA",30,5,3.6,5,0,0,0,,19,3,2,2,0,3,0,0,0,0,2,3.6,5.4,0.66666667,0,0.10526316,0.15789474,-0.05263158,0.1875,1.2,0.21428571,0.66666667,4.4676892280578615,-0.8676892280578614,5.766518414020538,2.25,0.07142857,0.64285714,0.28571429,0,0,0.5,0.14285714,0.35714286,0.0952381,24,39,63,"12178"
2022,"Dan Winkler","TEX","AAA",32,15.2,4.021275779789908,13,0,3,1,,66,11,9,7,2,8,0,0,3,0,23,13.212763276452556,4.595743748331324,2.875,1.148935937082831,0.34848485,0.12121212,0.22727273,0.18965517,1.2127657113652104,0.27272727,0.61728395,4.156805684653932,-0.13552990486402372,4.079442415690254,1,0.21212121,0.39393939,0.39393939,0.15384615,0.15384615,0.25714286,0.25714286,0.48571429,0.19649123,107,178,285,"12237"
2022,"Aaron Brooks","STL","AAA",32,3.2,4.909086333822937,1,1,0,0,,18,5,2,2,0,3,0,0,0,1,1,2.4545431669114683,7.363629500734405,0.33333333,0,0.05555556,0.16666667,-0.11111111,0.33333333,2.1818161483657494,0.35714286,0.75,5.3767783578778925,-0.4676920240549558,6.705125150957006,2,0.35714286,0.42857143,0.21428571,0.33333333,0,0.42857143,0.21428571,0.35714286,0.0625,28,36,64,"12272"
2022,"Spencer Patton","TEX","AAA",34,4,0,4,0,0,0,,15,2,0,0,0,1,0,1,0,1,3,6.75,2.25,3,0,0.2,0.06666667,0.13333333,0.15384615,0.75,0.2,1,3.9014865875244142,-3.9014865875244142,5.808253911137581,1,0.2,0.4,0.4,0,0,0.3,0.3,0.4,0.09836066,24,37,61,"12361"
2022,"Nick Tropeano","TEX","AAA",31,19.2,3.20338931271354,11,0,0,0,,84,12,8,7,1,16,1,0,1,1,21,9.61016793814062,7.3220327147738065,1.3125,0.4576270446733629,0.25,0.19047619,0.05952381,0.17647059,1.42372858342824,0.23913043,0.7518797,4.8675881262792915,-1.6641988135657515,6.1456563843840595,0.9,0.17391304,0.39130435,0.43478261,0.15,0.05,0.55555556,0.17777778,0.26666667,0.11661808,140,203,343,"12385"
