Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Rocco Baldelli,TBD,387,16,10,18.10%,3.60%,0.336,0.231,16.00%,33.90%,123,11.50%,30.80%,50.40%,77.00%,,,1656,1,1656s1
2006,Marlon Anderson,- - -,312,12,4,15.70%,8.00%,0.321,0.215,13.80%,38.30%,123,7.60%,22.80%,42.20%,82.00%,,,947,1,947s1
2006,Troy Glaus,TOR,634,38,3,21.10%,13.60%,0.263,0.261,18.70%,49.40%,119,9.70%,16.70%,40.60%,75.80%,,,15,1,15s1
2006,Carlos Quentin,ARI,191,9,1,17.80%,7.90%,0.266,0.277,17.60%,38.30%,114,13.50%,24.40%,53.40%,74.40%,,,6274,1,6274s1
2006,Stephen Drew,ARI,226,5,2,22.10%,6.20%,0.394,0.201,7.90%,39.60%,114,12.40%,30.30%,49.40%,74.30%,,,4251,1,4251s1
2006,Adrian Gonzalez,SDP,631,24,0,17.90%,8.20%,0.34,0.196,15.70%,33.30%,126,9.70%,23.70%,48.70%,79.90%,,,1908,1,1908s1
2006,Freddy Sanchez,PIT,632,6,3,8.20%,4.90%,0.364,0.129,3.10%,35.50%,119,5.20%,30.00%,51.40%,89.80%,,,1624,1,1624s1
2006,Alex Rios,TOR,498,17,15,17.90%,7.00%,0.336,0.213,11.00%,41.60%,118,8.80%,24.10%,46.40%,81.00%,,,2090,1,2090s1
2006,Josh Willingham,FLA,573,26,2,19.00%,9.40%,0.303,0.219,15.90%,41.10%,120,8.50%,18.30%,41.60%,79.50%,,,2103,1,2103s1
2006,Adam Dunn,CIN,683,40,7,28.40%,16.40%,0.276,0.257,22.20%,48.60%,115,11.90%,17.20%,40.90%,70.40%,,,319,1,319s1
2006,Scott Hatteberg,CIN,539,13,2,7.60%,13.70%,0.293,0.147,9.30%,33.40%,114,3.20%,11.00%,34.10%,90.60%,,,916,1,916s1
2006,Chris Gomez,BAL,142,2,1,7.70%,4.90%,0.361,0.098,5.90%,28.30%,117,4.80%,20.60%,45.10%,89.20%,,,1208,1,1208s1
2006,Raul Ibanez,SEA,699,33,2,16.50%,9.30%,0.305,0.227,16.40%,38.80%,121,8.60%,19.60%,44.60%,80.40%,,,607,1,607s1
2006,Johnny Damon,NYY,671,24,25,12.70%,10.00%,0.297,0.197,12.00%,39.70%,117,5.60%,19.00%,42.00%,86.70%,,,185,1,185s1
2006,Derrek Lee,CHC,204,8,8,20.10%,12.30%,0.323,0.189,15.10%,38.40%,112,7.60%,17.10%,40.30%,81.00%,,,525,1,525s1
2006,Andre Ethier,LAD,441,11,5,17.50%,7.70%,0.354,0.169,9.20%,36.90%,117,11.70%,27.70%,52.20%,77.50%,,,6265,1,6265s1
2006,Eric Hinske,- - -,312,13,2,25.30%,11.20%,0.335,0.217,15.10%,43.40%,114,12.50%,25.00%,46.10%,72.80%,,,1305,1,1305s1
2006,Matt Diaz,ATL,323,7,5,15.20%,3.40%,0.367,0.148,10.40%,26.70%,114,12.70%,37.50%,56.40%,77.30%,,,1771,1,1771s1
2006,Mike Cameron,SDP,634,22,25,22.40%,11.20%,0.321,0.214,11.90%,45.10%,122,9.00%,16.60%,39.80%,77.30%,,,1070,1,1070s1
2006,Ryan Garko,CLE,209,7,0,17.70%,6.70%,0.326,0.178,11.30%,41.10%,116,9.10%,23.80%,48.20%,81.10%,,,6319,1,6319s1
2006,Hanley Ramirez,FLA,700,17,51,18.30%,8.00%,0.343,0.188,9.70%,35.30%,116,6.30%,17.50%,41.60%,84.90%,,,8001,1,8001s1
