idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa737020-AAA-SDP,Luis Liberato,SDP,26,AAA,37,0.543,0.297,0.323,0.081,0.937,0.318,0.29,0.324,0.613,6,2,0,0,0.409,0.273,0.318,18,2022-06-01
20493-AAA-ARI,Seth Beer,ARI,25,AAA,55,0.64,0.218,0.279,0.091,0.935,0.267,0.256,0.4,0.535,6,3,0,0,0.5,0.467,0.033,18,2022-06-01
13167-AAA-CHC,Robel Garcia,CHC,29,AAA,62,0.526,0.242,0.255,0.097,0.935,0.342,0.309,0.371,0.564,6,4,0,0,0.316,0.237,0.421,18,2022-06-01
17766-AAA-BAL,DJ Stewart,BAL,28,AAA,18,0.6,0.333,0.4,0.167,0.933,0.143,0.2,0.333,0.6,2,2,0,0,0.571,0.286,0.143,18,2022-06-01
17922-AAA-SFG,Isan Diaz,SFG,26,AAA,48,0.612,0.292,0.357,0.125,0.929,0.25,0.238,0.333,0.595,6,4,1,0,0.292,0.417,0.333,18,2022-06-01
sa857219-AAA-CLE,Gavin Collins,CLE,26,AAA,14,0.417,0.429,0.357,0.0,0.929,0.429,0.286,0.286,0.643,3,1,0,0,0.429,0.286,0.429,18,2022-06-01
sa881025-AAA-OAK,Dermis Garcia,OAK,24,AAA,53,0.485,0.283,0.275,0.038,0.928,0.394,0.314,0.34,0.588,8,3,2,0,0.364,0.273,0.364,18,2022-06-01
sa873988-AAA-ARI,Camden Duzenack,ARI,27,AAA,39,0.506,0.179,0.182,0.128,0.925,0.37,0.333,0.41,0.515,4,1,0,1,0.37,0.333,0.296,18,2022-06-01
sa915652-AAA-COL,Sean Bouchard,COL,26,AAA,17,0.486,0.294,0.286,0.059,0.924,0.3,0.286,0.353,0.571,2,1,1,0,0.5,0.2,0.3,18,2022-06-01
sa3004056-AAA-MIN,David Banuelos,MIN,25,AAA,24,0.545,0.292,0.318,0.083,0.924,0.308,0.273,0.333,0.591,3,2,0,0,0.308,0.385,0.308,18,2022-06-01
22275-AAA-CHW,Jake Burger,CHW,26,AAA,33,0.688,0.242,0.333,0.182,0.919,0.188,0.222,0.364,0.556,3,3,0,0,0.625,0.438,0.062,18,2022-06-01
17276-AAA-MIL,Alex Jackson,MIL,26,AAA,23,1.009,0.13,0.263,0.13,0.918,0.312,0.263,0.391,0.526,4,0,1,0,0.562,0.375,0.062,18,2022-06-01
sa918012-AAA-STL,Conner Capel,STL,25,AAA,54,0.276,0.296,0.163,0.093,0.918,0.5,0.347,0.407,0.51,6,1,3,1,0.281,0.375,0.344,18,2022-06-01
sa738505-AAA-CIN,Chris Okey,CIN,27,AAA,17,0.531,0.235,0.25,0.059,0.915,0.417,0.312,0.353,0.562,2,0,0,0,0.083,0.333,0.583,18,2022-06-01
sa829152-AAA-SEA,Brian O'Keefe,SEA,28,AAA,41,0.469,0.22,0.206,0.146,0.915,0.375,0.294,0.415,0.5,4,1,0,0,0.375,0.333,0.25,18,2022-06-01
sa739013-AAA-ARI,Dominic Miroglio,ARI,27,AAA,16,0.615,0.25,0.308,0.188,0.913,0.25,0.231,0.375,0.538,2,1,0,0,0.625,-0.125,0.25,18,2022-06-01
18848-AAA-TEX,Yohel Pozo,TEX,25,AAA,46,0.871,0.065,0.114,0.043,0.913,0.4,0.386,0.413,0.5,3,1,0,0,0.2,0.5,0.3,18,2022-06-01
19422-AAA-COL,Brian Serven,COL,27,AAA,96,0.748,0.156,0.234,0.167,0.913,0.271,0.273,0.406,0.506,8,5,0,0,0.305,0.542,0.153,18,2022-06-01
17932-AAA-WSN,Andrew Stevenson,WSN,28,AAA,63,0.389,0.206,0.161,0.063,0.913,0.442,0.339,0.413,0.5,9,0,2,1,0.349,0.326,0.302,18,2022-06-01
sa3004165-AAA-PIT,Bligh Madris,PIT,26,AAA,44,0.579,0.205,0.237,0.136,0.913,0.333,0.289,0.386,0.526,5,2,1,0,0.333,0.444,0.222,18,2022-06-01
19859-AAA-TBR,Rene Pinto,TBR,25,AAA,51,0.529,0.294,0.311,0.078,0.911,0.31,0.267,0.333,0.578,8,3,0,0,0.448,0.276,0.241,18,2022-06-01
sa914242-AAA-LAD,Omar Estevez,LAD,24,AAA,15,0.804,0.267,0.429,0.067,0.91,0.125,0.214,0.267,0.643,2,2,0,0,0.375,0.375,0.25,18,2022-06-01
sa3004720-AAA-NYM,Mark Vientos,NYM,22,AAA,46,0.301,0.348,0.209,0.043,0.904,0.48,0.326,0.37,0.535,5,2,0,0,0.32,0.36,0.32,18,2022-06-01
sa830303-AAA-CHW,Micker Adolfo,CHW,25,AAA,41,0.3,0.341,0.205,0.024,0.904,0.5,0.333,0.366,0.538,6,1,0,1,0.208,0.5,0.292,18,2022-06-01
16852-AAA-ATL,John Nogowski,ATL,29,AAA,39,0.371,0.154,0.114,0.077,0.896,0.4,0.371,0.41,0.486,2,1,2,0,0.367,0.367,0.267,18,2022-06-01
18054-AAA-SEA,Sam Haggerty,SEA,28,AAA,23,0.383,0.261,0.2,0.087,0.891,0.429,0.3,0.391,0.5,3,0,2,0,0.214,0.5,0.214,18,2022-06-01
sa918418-AAA-TBR,Jim Haley,TBR,27,AAA,48,0.46,0.292,0.268,0.104,0.891,0.36,0.268,0.354,0.537,6,2,2,0,0.32,0.4,0.28,18,2022-06-01
22217-AAA-SDP,Luis Campusano,SDP,23,AAA,48,0.632,0.146,0.184,0.188,0.89,0.312,0.289,0.417,0.474,4,1,0,0,0.219,0.719,0.094,18,2022-06-01
sa3009876-AAA-MIA,Peyton Burdick,MIA,25,AAA,58,0.522,0.224,0.234,0.155,0.89,0.324,0.277,0.379,0.511,6,2,1,0,0.559,0.235,0.176,18,2022-06-01
sa3004140-AAA-TEX,Bubba Thompson,TEX,24,AAA,53,0.423,0.245,0.208,0.0,0.887,0.421,0.34,0.34,0.547,5,2,10,0,0.237,0.553,0.237,18,2022-06-01
20543-AAA-COL,Elehuris Montero,COL,23,AAA,66,0.305,0.288,0.175,0.106,0.885,0.405,0.316,0.394,0.491,4,3,0,1,0.378,0.324,0.27,18,2022-06-01
sa917927-AAA-CLE,Will Benson,CLE,24,AAA,59,0.559,0.237,0.265,0.153,0.883,0.258,0.245,0.373,0.51,5,4,3,0,0.323,0.484,0.194,18,2022-06-01
sa3006715-AAA-COL,Coco Montes,COL,25,AAA,49,0.363,0.327,0.237,0.184,0.882,0.381,0.237,0.408,0.474,6,1,2,0,0.476,0.286,0.286,18,2022-06-01
sa919293-AAA-TBR,Jonathan Aranda,TBR,24,AAA,56,0.56,0.179,0.2,0.179,0.879,0.25,0.25,0.429,0.45,4,2,1,0,0.406,0.438,0.125,18,2022-06-01
sa877338-AAA-CHC,Carlos Sepulveda,CHC,25,AAA,10,0.0,0.1,0.0,0.2,0.875,0.429,0.375,0.5,0.375,0,0,1,0,0.143,0.571,0.286,18,2022-06-01
sa657521-AAA-KCR,Angelo Castellano,KCR,27,AAA,33,3.96,0.03,0.24,0.121,0.874,0.217,0.24,0.394,0.48,4,1,1,1,0.478,0.217,0.217,18,2022-06-01
20599-AAA-STL,Ivan Herrera,STL,22,AAA,93,0.403,0.204,0.165,0.129,0.866,0.367,0.304,0.398,0.468,8,2,1,0,0.317,0.467,0.233,18,2022-06-01
19896-AAA-BOS,Connor Wong,BOS,26,AAA,57,0.329,0.175,0.115,0.088,0.865,0.415,0.346,0.404,0.462,4,1,2,0,0.341,0.512,0.146,18,2022-06-01
sa3007078-AAA-TBR,Jordan Qsar,TBR,26,AAA,11,0.367,0.273,0.2,0.091,0.864,0.429,0.3,0.364,0.5,2,0,0,1,0.143,0.429,0.429,18,2022-06-01
sa3004138-AAA-KCR,Nick Pratto,KCR,23,AAA,69,0.414,0.319,0.264,0.217,0.863,0.259,0.208,0.391,0.472,6,4,1,0,0.556,0.333,0.074,18,2022-06-01
22169-AAA-PIT,Cal Mitchell,PIT,23,AAA,138,0.668,0.145,0.194,0.072,0.862,0.32,0.306,0.362,0.5,14,5,6,0,0.311,0.485,0.194,18,2022-06-01
sa3008479-AAA-LAA,Michael Stefanic,LAA,26,AAA,66,0.934,0.061,0.113,0.152,0.858,0.308,0.321,0.424,0.434,4,1,2,1,0.269,0.577,0.154,18,2022-06-01
19151-AAA-NYY,Estevan Florial,NYY,24,AAA,49,0.229,0.388,0.178,0.061,0.856,0.5,0.311,0.367,0.489,4,2,4,3,0.25,0.5,0.25,18,2022-06-01
