bbpct,kpct,bbperk,avg,obp,slg,ops,iso,babip,wsb,wrc,wraa,woba,wrcplus,gbperfb,ldpct,gbpct,fbpct,iffbpct,hrperfb,pullpct,centpct,oppopct,swstrpct,playerid,playeridlevel,date,playeridunique
0.03149606,0.25984252,0.12121212,0.20491803,0.22834646,0.37704918,0.60539564,0.17213115,0.23529412,-0.1474848836660385,8.983911766702137,-7.718623341029684,0.2610684680187796,53.78771371385035,1.34482759,0.23595506,0.43820225,0.3258427,0.17241379,0.17241379,0.44444444,0.16666667,0.38888889,0.12103175,12649,12649-AAA,2022-06-18,12649-AAA-2022-06-18-ATL
0.10900474,0.23696682,0.46,0.29545455,0.39810427,0.48863636,0.88674063,0.19318181,0.36363636,-1.7566477516666057,38.772829422252286,7.626881772177328,0.3898872512776705,124.48755728310284,1.39534884,0.1953125,0.46875,0.3359375,0.09302326,0.18604651,0.37209302,0.3255814,0.30232558,0.15712546,12719,12719-AAA,2022-06-18,12719-AAA-2022-06-18-LAA
0.13300493,0.30541872,0.43548387,0.21965318,0.32512315,0.39884393,0.72396708,0.17919075,0.29245283,-0.241582877933979,24.186964759766266,-5.77809387987931,0.3199480786772057,80.71722819112209,0.61702128,0.30275229,0.26605505,0.43119266,0.36170213,0.14893617,0.54385965,0.15789474,0.29824561,0.12082854,12779,12779-AAA,2022-06-18,12779-AAA-2022-06-18-LAD
0.08823529,0.11764706,0.75,0.23728814,0.3030303,0.25423729,0.55726759,0.01694915,0.26923077,-0.1556784883141517,4.992603985748051,-3.9504856782343407,0.2642379655982508,55.82638856742521,2.66666667,0.25,0.54545455,0.20454545,0.33333333,0.0,0.4375,0.1875,0.375,0.07272727,12782,12782-AAA,2022-06-18,12782-AAA-2022-06-18-PIT
0.0,0.77777778,0.0,0.11111111,0.11111111,0.22222222,0.33333333,0.11111111,0.5,0.0,-0.216855388564332,-1.3099660691444712,0.1414587497711181,-19.83837432173308,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.24489796,12859,12859-AA,2022-06-18,12859-AA-2022-06-18-NYM
0.06593407,0.13186813,0.5,0.21686747,0.28021978,0.36144578,0.64166556,0.14457831,0.23021583,-1.0068497881293297,16.906654248152627,-7.029262205447304,0.2872575744167789,70.63299322976158,0.9122807,0.21014493,0.37681159,0.41304348,0.28070175,0.07017544,0.48251748,0.1958042,0.32167832,0.07794118,12950,12950-AAA,2022-06-18,12950-AAA-2022-06-18-NYY
0.37037037,0.18518519,2.0,0.29411765,0.55555556,0.35294118,0.90849674,0.05882353,0.41666667,-0.1147104650735855,6.23423181325357,2.6832991525546785,0.4503954251607259,175.56603881152043,3.5,0.25,0.58333333,0.16666667,0.5,0.0,0.5,0.41666667,0.08333333,0.07482993,12977,12977-AAA,2022-06-18,12977-AAA-2022-06-18-PIT
0.09677419,0.38709677,0.25,0.14285714,0.22580645,0.25,0.47580645,0.10714286,0.2,-0.0491616278886795,1.1781524763049611,-2.8988442822752467,0.2223721108128947,28.897557345992254,4.0,0.0625,0.75,0.1875,0.33333333,0.33333333,0.6875,0.1875,0.125,0.09917355,12981,12981-AAA,2022-06-18,12981-AAA-2022-06-18-KCR
0.08108108,0.21621622,0.375,0.3125,0.40540541,0.34375,0.74915541,0.03125,0.41666667,-0.1147104650735855,5.558160670573225,0.6920677651710414,0.3550251416257909,114.22224726541349,6.0,0.125,0.75,0.125,0.33333333,0.0,0.33333333,0.25,0.41666667,0.12751678,12990,12990-AAA,2022-06-18,12990-AAA-2022-06-18-CHC
0.24137931,0.27586207,0.875,0.04545455,0.27586207,0.09090909,0.36677116,0.04545454,0.07142857,0.1432312102988362,0.8880863757712876,-3.2288265107290712,0.2238720244374768,21.571658187944276,0.85714286,0.07142857,0.42857143,0.5,0.42857143,0.0,0.64285714,0.14285714,0.21428571,0.13432836,13006,13006-AA,2022-06-18,13006-AA-2022-06-18-SDP
0.21323529,0.36029412,0.59183673,0.15384615,0.3358209,0.25961538,0.59543628,0.10576923,0.25925926,0.4204126223921776,13.495445007804069,-4.390734320160716,0.2947493084331057,75.45180421345844,0.57142857,0.2,0.29090909,0.50909091,0.28571429,0.07142857,0.38596491,0.19298246,0.42105263,0.10798122,13012,13012-AAA,2022-06-18,13012-AAA-2022-06-18-PHI
0.25714286,0.42857143,0.6,0.11538462,0.34285714,0.34615385,0.68901099,0.23076923,0.11111111,-0.3419728577136993,4.405913522027791,-0.1971473344337341,0.3262553674834115,95.71703827993086,1.5,0.09090909,0.54545455,0.36363636,0.0,0.5,0.54545455,0.09090909,0.36363636,0.1125,13012,13012-AAA,2022-06-18,13012-AAA-2022-06-18-MIN
0.07692308,0.23076923,0.33333333,0.45454545,0.46153846,1.18181818,1.64335664,0.72727273,0.42857143,0.1840415690094232,4.930989706631647,3.402027064677225,0.6690761584502,322.50557151144824,0.0,0.5,0.0,0.5,0.0,0.5,0.44444444,0.44444444,0.11111111,0.14285714,13066,13066-A,2022-06-18,13066-A-2022-06-18-TOR
0.03846154,0.15384615,0.25,0.25,0.30769231,0.25,0.55769231,0.0,0.3,-0.065548837184906,1.9653478579874435,-1.454068778241118,0.2668027717333573,57.47611557961887,0.4,0.26315789,0.21052632,0.52631579,0.3,0.0,0.65,0.15,0.2,0.0877193,13151,13151-AAA,2022-06-18,13151-AAA-2022-06-18-KCR
0.14545455,0.30909091,0.47058824,0.29496403,0.39393939,0.61870504,1.01264443,0.32374101,0.37179487,-0.8205554187297821,34.87363005824522,13.173486020640889,0.427294151448622,160.70690589800907,0.74285714,0.31460674,0.29213483,0.39325843,0.25714286,0.34285714,0.55555556,0.21111111,0.23333333,0.13854595,13167,13167-AAA,2022-06-18,13167-AAA-2022-06-18-CHC
0.17647059,0.35294118,0.5,0.14285714,0.29411765,0.35714286,0.65126051,0.21428572,0.14285714,-0.0168690700083971,1.6251609474174002,-0.8842281997450372,0.2944556755178115,64.76320937528149,2.5,0.125,0.625,0.25,0.0,0.5,0.75,0.0,0.25,0.11111111,13301,13301-AAA,2022-06-18,13301-AAA-2022-06-18-LAD
0.0625,0.10714286,0.58333333,0.27884615,0.32142857,0.41346154,0.73489011,0.13461539,0.30434783,-0.0294209271669387,13.884582843043145,-0.8452118976337369,0.3239930692527975,94.2618895068534,1.18181818,0.22580645,0.41935484,0.35483871,0.3030303,0.03030303,0.47311828,0.2688172,0.25806452,0.05072464,13324,13324-AAA,2022-06-18,13324-AAA-2022-06-18-CHC
0.1147541,0.09836066,1.16666667,0.16981132,0.26229508,0.28301887,0.54531395,0.11320755,0.17021277,-0.098323255777359,3.8772136961398886,-4.145263796550198,0.2525824787186794,48.329380788823954,1.29411765,0.17021277,0.46808511,0.36170213,0.11764706,0.05882353,0.41666667,0.1875,0.39583333,0.05116279,13324,13324-AAA,2022-06-18,13324-AAA-2022-06-18-WSN
0.14285714,0.25306122,0.56451613,0.29268293,0.4,0.52195122,0.92195122,0.22926829,0.36090226,-0.6358720860444009,47.30385589223551,11.13912994783568,0.39997543875052,130.80109044642322,1.16666667,0.28275862,0.3862069,0.33103448,0.22916667,0.25,0.46575342,0.23287671,0.30136986,0.12003872,13329,13329-AAA,2022-06-18,13329-AAA-2022-06-18-LAD
0.2,0.15,1.33333333,0.5625,0.65,1.0625,1.7125,0.5,0.63636364,-0.0737424418330192,8.801661436799549,6.171340947392963,0.6976791679859161,334.6231560848788,0.8,0.30769231,0.30769231,0.38461538,0.0,0.4,0.38461538,0.30769231,0.30769231,0.07792208,13355,13355-AAA,2022-06-18,13355-AAA-2022-06-18-CLE
0.05454545,0.20606061,0.26470588,0.33766234,0.37575758,0.42857143,0.80432901,0.09090909,0.425,0.5220893695950508,25.57658692630821,3.8764428887038735,0.3606864130858219,117.86367354053668,2.31034483,0.18644068,0.56779661,0.24576271,0.10344828,0.03448276,0.475,0.16666667,0.35833333,0.14507772,13369,13369-AAA,2022-06-18,13369-AAA-2022-06-18-MIA
0.10059172,0.24852071,0.4047619,0.21917808,0.31360947,0.2739726,0.58758207,0.05479452,0.30188679,-0.1093540550209581,14.01987600090755,-10.926404344413152,0.2807732298529359,56.2002663596993,0.63829787,0.27358491,0.28301887,0.44339623,0.19148936,0.0,0.4245283,0.30188679,0.27358491,0.12652439,13472,13472-AAA,2022-06-18,13472-AAA-2022-06-18-OAK
0.08333333,0.21666667,0.38461538,0.23636364,0.3,0.32727273,0.62727273,0.09090909,0.29268293,-0.1229040697216987,5.575603775623497,-2.31535769259626,0.2872966140508651,70.65810418766857,2.09090909,0.19047619,0.54761905,0.26190476,0.36363636,0.09090909,0.47619048,0.30952381,0.21428571,0.12389381,13473,13473-AAA,2022-06-18,13473-AAA-2022-06-18-CHW
