idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3007516-AA-OAK,Jonah Bride,OAK,26,AA,26,0.989,0.154,0.304,0.038,0.873,0.25,0.261,0.308,0.565,5,1,0,0,0.4,0.3,0.3,18,2022-06-01
sa3006685-AA-CHW,Ian Dawkins,CHW,26,AA,45,0.423,0.156,0.132,0.156,0.87,0.367,0.316,0.422,0.447,3,1,1,1,0.367,0.433,0.233,18,2022-06-01
sa1159899-AA-CIN,Quincy McAfee,CIN,24,AA,39,0.517,0.205,0.212,0.128,0.869,0.333,0.273,0.385,0.485,4,1,0,0,0.458,0.417,0.167,18,2022-06-01
sa872551-AA-MIN,Leobaldo Cabrera,MIN,24,AA,26,0.565,0.231,0.261,0.077,0.868,0.267,0.261,0.346,0.522,2,2,0,1,0.533,0.2,0.267,18,2022-06-01
sa3014830-AA-CLE,Micah Pries,CLE,24,AA,54,0.636,0.241,0.306,0.093,0.866,0.273,0.245,0.315,0.551,7,3,1,0,0.515,0.273,0.212,18,2022-06-01
sa3007047-AA-TBR,Grant Witherspoon,TBR,25,AA,33,0.917,0.091,0.167,0.061,0.864,0.345,0.333,0.364,0.5,4,0,1,0,0.448,0.448,0.103,18,2022-06-01
sa918983-AA-PIT,Matt Fraizer,PIT,24,AA,54,0.331,0.278,0.184,0.074,0.86,0.406,0.306,0.37,0.49,5,2,4,0,0.531,0.344,0.188,18,2022-06-01
sa1169627-AA-CIN,Ivan Johnson,CIN,23,AA,25,0.568,0.2,0.227,0.12,0.86,0.312,0.273,0.36,0.5,3,1,0,1,0.312,0.438,0.188,18,2022-06-01
sa916969-AA-NYY,Jesus Bastidas,NYY,23,AA,49,0.454,0.245,0.222,0.061,0.858,0.333,0.289,0.347,0.511,4,3,1,2,0.367,0.4,0.233,18,2022-06-01
sa3010401-AA-DET,Andre Lipcius,DET,24,AA,60,0.462,0.233,0.216,0.133,0.857,0.324,0.275,0.367,0.49,7,2,2,0,0.324,0.486,0.162,18,2022-06-01
