idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Pull%,Cent%,Oppo%,Date,hmm
sa3014882-A+-OAK,Sahid Valenzuela,OAK,24,A+,47,11,0.34,0.0,0.107,0.064,0.372,0.25,0.159,0.213,0.159,0.0,0,0,0,0,0,0.286,0.607,0.107,0.286,0.607,0.107,2022-06-03,0.0
sa3014883-A+-TBR,Matt Dyer,TBR,23,A+,122,87,0.336,0.048,0.161,0.107,0.648,0.406,0.248,0.352,0.295,0.0,0,3,1,7,1,0.371,0.355,0.274,0.371,0.355,0.274,2022-06-03,0.09467185603208783
sa3014884-A+-ATL,Landon Stephens,ATL,24,A+,188,157,0.266,0.325,0.145,0.128,0.973,0.286,0.26,0.388,0.584,0.259,14,8,0,1,1,0.529,0.324,0.147,0.529,0.324,0.147,2022-06-03,0.40517484694980693
sa3014885-AA-OAK,William Simoneit,OAK,25,AA,114,82,0.219,0.097,0.096,0.114,0.673,0.29,0.226,0.351,0.323,0.056,1,6,0,1,0,0.261,0.493,0.246,0.261,0.493,0.246,2022-06-03,0.16318621958544444
sa3014889-A-CIN,Gus Steiger,CIN,23,A,137,111,0.234,0.074,0.095,0.095,0.721,0.389,0.287,0.36,0.361,0.0,0,7,1,12,3,0.149,0.609,0.241,0.149,0.609,0.241,2022-06-03,0.15231612180491613
sa3014891-A+-ATL,Bryson Horne,ATL,23,A+,124,69,0.258,0.073,0.12,0.105,0.597,0.289,0.218,0.306,0.291,0.118,2,2,0,0,1,0.221,0.61,0.169,0.221,0.61,0.169,2022-06-03,0.12386776733545876
sa3014892-A-HOU,Cody Orr,HOU,23,A,136,95,0.294,0.069,0.171,0.103,0.656,0.355,0.241,0.346,0.31,0.038,1,3,1,11,3,0.361,0.347,0.292,0.361,0.347,0.292,2022-06-03,0.12474235533606369
sa3014935-A+-HOU,Zach Daniels,HOU,23,A+,171,77,0.351,0.164,0.177,0.123,0.654,0.268,0.192,0.298,0.356,0.273,6,4,1,10,1,0.262,0.56,0.179,0.262,0.56,0.179,2022-06-03,0.21416856288575115
sa3014936-A+-OAK,Jared McDonald,OAK,25,A+,89,111,0.303,0.146,0.151,0.056,0.753,0.377,0.28,0.326,0.427,0.188,3,3,0,0,0,0.291,0.418,0.291,0.291,0.418,0.291,2022-06-03,0.22649978583865488
sa3014938-A+-SDP,Adam Kerner,SDP,23,A+,27,102,0.296,0.222,0.109,0.0,0.741,0.333,0.259,0.259,0.481,0.1,1,3,0,0,0,0.556,0.167,0.278,0.556,0.167,0.278,2022-06-03,0.30371499693825943
