idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3017792-A-TBR,Ryan Spikes,TBR,19,A,30,98,0.3,0.115,0.215,0.133,0.679,0.353,0.231,0.333,0.346,0.0,0,3,0,1,2,0.412,0.588,0.0,2022-06-01
sa3017852-A-TBR,Bobby Seymour,TBR,23,A,163,129,0.258,0.2,0.143,0.117,0.827,0.337,0.271,0.356,0.471,0.171,6,10,0,1,0,0.357,0.439,0.204,2022-06-01
sa3018214-A-CHW,Alsander Womack,CHW,23,A,21,63,0.143,0.053,0.06,0.095,0.549,0.25,0.211,0.286,0.263,0.0,0,1,0,1,1,0.188,0.75,0.062,2022-06-01
sa3017901-A-MIN,Mikey Perez,MIN,22,A,145,123,0.221,0.198,0.134,0.124,0.766,0.259,0.223,0.345,0.421,0.125,5,9,0,16,2,0.465,0.291,0.244,2022-06-01
sa3017903-A-MIN,Dillon Tatum,MIN,22,A,106,96,0.396,0.096,0.143,0.17,0.626,0.325,0.181,0.349,0.277,0.111,2,2,0,0,0,0.462,0.256,0.282,2022-06-01
sa3018098-A-MIA,Brady Allen,MIA,22,A,167,123,0.251,0.176,0.098,0.138,0.77,0.302,0.246,0.347,0.423,0.171,6,5,1,1,0,0.343,0.363,0.294,2022-06-01
sa3018123-A-MIN,Dylan Neuse,MIN,23,A,103,100,0.223,0.103,0.113,0.146,0.662,0.274,0.218,0.34,0.322,0.1,2,3,0,2,4,0.357,0.429,0.214,2022-06-01
sa3018153-A-LAA,Vojtech Mensik,LAA,24,A,137,65,0.255,0.051,0.127,0.109,0.579,0.301,0.212,0.316,0.263,0.0,0,2,2,8,3,0.235,0.568,0.198,2022-06-01
sa3018208-A-CIN,Jamal O'Guinn,CIN,23,A,124,147,0.194,0.077,0.096,0.21,0.803,0.362,0.275,0.452,0.352,0.0,0,7,0,1,2,0.377,0.391,0.232,2022-06-01
sa3018240-A-SDP,Michael Green,SDP,24,A,21,74,0.429,0.158,0.2,0.0,0.654,0.333,0.211,0.286,0.368,0.5,1,0,0,1,0,0.2,0.8,0.0,2022-06-01
sa736852-A-PHI,Aldrem Corredor,PHI,26,A,19,195,0.263,0.067,0.057,0.211,0.993,0.6,0.4,0.526,0.467,0.0,0,1,0,0,0,0.3,0.5,0.2,2022-06-01
sa917022-A-KCR,Rubendy Jaquez,KCR,23,A,87,91,0.149,0.075,0.103,0.069,0.659,0.303,0.262,0.322,0.338,0.056,1,3,0,7,0,0.29,0.468,0.242,2022-06-01
sa917119-A-NYM,Shervyen Newton,NYM,23,A,97,160,0.299,0.25,0.148,0.103,0.923,0.404,0.298,0.375,0.548,0.211,4,9,0,0,0,0.345,0.418,0.236,2022-06-01
sa917291-A-HOU,Yeuris Ramirez,HOU,23,A,104,87,0.433,0.133,0.205,0.106,0.641,0.341,0.2,0.308,0.333,0.222,4,0,0,6,0,0.409,0.409,0.182,2022-06-01
sa917309-A-CIN,Steven Leyton,CIN,23,A,47,80,0.234,0.196,0.142,0.021,0.647,0.242,0.217,0.234,0.413,0.167,2,1,1,1,0,0.375,0.312,0.312,2022-06-01
sa918278-A-STL,Brady Whalen,STL,24,A,94,137,0.181,0.16,0.076,0.106,0.817,0.323,0.284,0.372,0.444,0.136,3,4,0,2,0,0.355,0.419,0.226,2022-06-01
sa918963-A-TOR,Chavez Young,TOR,24,A,20,131,0.25,0.167,0.146,0.05,0.794,0.333,0.278,0.35,0.444,0.333,1,0,0,1,0,0.231,0.308,0.462,2022-06-01
sa927338-A-PIT,Fabricio Macias,PIT,24,A,18,26,0.167,0.062,0.096,0.111,0.41,0.154,0.125,0.222,0.188,0.0,0,1,0,1,0,0.385,0.538,0.077,2022-06-01
sa930082-A-ATL,Victor De Hoyos,ATL,24,A,21,183,0.381,0.278,0.226,0.143,1.04,0.556,0.333,0.429,0.611,0.25,1,2,0,0,0,0.4,0.3,0.3,2022-06-01
16947-A-DET,Derek Hill,DET,26,A,12,12,0.25,0.0,0.135,0.167,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,1,0,0.5,0.5,0.0,2022-06-01
10059-A-LAA,Max Stassi,LAA,31,A,8,210,0.25,0.5,0.148,0.0,1.25,0.4,0.375,0.375,0.875,0.333,1,1,0,0,0,0.5,0.5,0.0,2022-06-01
11476-A-PHI,Odubel Herrera,PHI,30,A,20,153,0.25,0.105,0.124,0.0,0.874,0.5,0.368,0.4,0.474,0.0,0,2,0,0,0,0.429,0.357,0.214,2022-06-01
14678-A-NYM,Tzu-Wei Lin,NYM,28,A,9,144,0.333,0.167,0.116,0.333,0.778,0.333,0.167,0.444,0.333,0.0,0,1,0,1,0,0.5,0.5,0.0,2022-06-01
19608-A-TOR,Otto Lopez,TOR,23,A,22,-36,0.182,0.0,0.086,0.091,0.186,0.062,0.05,0.136,0.05,0.0,0,0,0,0,0,0.214,0.786,0.0,2022-06-01
7949-A-MIN,Tim Beckham,MIN,32,A,9,219,0.222,0.429,0.111,0.222,1.159,0.25,0.286,0.444,0.714,0.333,1,0,0,0,0,0.6,0.2,0.2,2022-06-01
sa1169970-A-MIA,Javeon Cody,MIA,22,A,97,104,0.33,0.092,0.169,0.072,0.701,0.418,0.276,0.333,0.368,0.077,1,3,1,2,1,0.236,0.509,0.255,2022-06-01
sa3002624-A-MIN,Jesus Feliz,MIN,22,A,26,28,0.231,0.083,0.103,0.077,0.481,0.222,0.167,0.231,0.25,0.0,0,2,0,0,0,0.25,0.625,0.125,2022-06-01
sa3002846-A-LAD,Luis Yanel Diaz,LAD,22,A,164,112,0.299,0.179,0.182,0.128,0.795,0.356,0.257,0.36,0.436,0.2,5,10,0,14,2,0.284,0.534,0.182,2022-06-01
sa3002851-A-SEA,Robert Perez,SEA,22,A,202,144,0.267,0.324,0.172,0.119,0.965,0.298,0.271,0.371,0.594,0.283,15,10,0,4,0,0.457,0.371,0.172,2022-06-01
sa3002860-A-SDP,Carlos Luis,SDP,22,A,148,108,0.203,0.138,0.095,0.095,0.781,0.343,0.285,0.358,0.423,0.143,3,9,0,1,0,0.21,0.66,0.13,2022-06-01
sa3002866-A-SEA,Freuddy Batista,SEA,22,A,99,94,0.303,0.188,0.225,0.091,0.723,0.288,0.212,0.323,0.4,0.1,3,5,1,1,1,0.556,0.278,0.167,2022-06-01
sa3003175-A-CIN,Fidel Castro,CIN,23,A,13,6,0.538,0.0,0.182,0.0,0.231,0.0,0.0,0.231,0.0,0.0,0,0,0,0,0,0.5,0.5,0.0,2022-06-01
sa3003178-A-CIN,Reyny Reyes,CIN,23,A,86,28,0.244,0.013,0.109,0.093,0.404,0.2,0.147,0.244,0.16,0.0,0,1,0,3,0,0.222,0.611,0.167,2022-06-01
sa3003210-A-CIN,Debby Santana,CIN,21,A,25,-24,0.68,0.0,0.234,0.04,0.205,0.2,0.045,0.16,0.045,0.0,0,0,0,0,0,0.0,1.0,0.0,2022-06-01
sa3003216-A-SEA,Amador Arias,SEA,21,A,114,70,0.412,0.108,0.182,0.14,0.595,0.311,0.172,0.316,0.28,0.1,2,4,0,0,2,0.435,0.478,0.087,2022-06-01
sa3003218-A-MIN,Daniel Ozoria,MIN,21,A,84,97,0.357,0.039,0.155,0.095,0.661,0.457,0.276,0.345,0.316,0.0,0,3,0,9,1,0.233,0.442,0.326,2022-06-01
sa3003233-A-STL,Jhon Torres,STL,22,A,4,242,0.25,0.75,0.154,0.0,1.25,0.0,0.25,0.25,1.0,1.0,1,0,0,0,0,0.333,0.333,0.333,2022-06-01
sa3003236-A-CIN,Wilfred Astudillo,CIN,22,A,40,41,0.125,0.05,0.073,0.0,0.5,0.257,0.225,0.225,0.275,0.0,0,2,0,0,0,0.176,0.588,0.235,2022-06-01
sa3003267-A-DET,Esney Chacon,DET,22,A,27,176,0.333,0.091,0.198,0.185,0.936,0.615,0.364,0.481,0.455,0.0,0,0,1,2,1,0.167,0.333,0.5,2022-06-01
sa3003328-A-STL,Franklin Soto,STL,22,A,34,72,0.294,0.0,0.15,0.118,0.557,0.35,0.233,0.324,0.233,0.0,0,0,0,1,0,0.421,0.421,0.158,2022-06-01
sa3003339-A-TOR,Hugo Cardona,TOR,22,A,33,47,0.455,0.0,0.171,0.212,0.418,0.273,0.115,0.303,0.115,0.0,0,0,0,5,0,0.273,0.455,0.273,2022-06-01
sa3004271-A-BAL,Davis Tavarez,BAL,23,A,106,61,0.292,0.101,0.146,0.057,0.568,0.284,0.212,0.255,0.313,0.118,2,4,0,1,0,0.258,0.621,0.121,2022-06-01
sa3004691-A-PIT,Jacob Gonzalez,PIT,24,A,107,216,0.131,0.258,0.128,0.084,1.128,0.425,0.393,0.477,0.652,0.143,4,11,0,0,0,0.378,0.432,0.189,2022-06-01
sa3005152-A-MIA,Jan Mercado,MIA,22,A,42,112,0.524,0.132,0.188,0.095,0.728,0.6,0.263,0.333,0.395,1.0,1,2,0,0,0,0.062,0.5,0.438,2022-06-01
sa3005509-A-CIN,Sebastian Almonte,CIN,22,A,67,36,0.403,0.069,0.183,0.104,0.446,0.25,0.138,0.239,0.207,0.0,0,2,1,1,2,0.355,0.387,0.258,2022-06-01
sa3005563-A-OAK,Jhoan Paulino,OAK,21,A,106,52,0.311,0.143,0.205,0.057,0.584,0.246,0.194,0.248,0.337,0.125,4,2,0,0,0,0.516,0.29,0.194,2022-06-01
sa3005577-A-BAL,Josue Cruz,BAL,21,A,110,51,0.482,0.055,0.254,0.164,0.469,0.297,0.132,0.282,0.187,0.077,1,2,0,0,0,0.361,0.417,0.222,2022-06-01
sa3005586-A-TOR,Jommer Hernandez,TOR,21,A,46,91,0.239,0.025,0.222,0.109,0.623,0.345,0.25,0.348,0.275,0.0,0,1,0,0,0,0.259,0.63,0.111,2022-06-01
sa3005715-A-DET,Alvaro Gonzalez,DET,21,A,68,82,0.294,0.172,0.176,0.103,0.624,0.216,0.172,0.279,0.345,0.1,2,4,0,0,0,0.526,0.421,0.053,2022-06-01
