idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3010039-AA-CLE,Will Brennan,CLE,24,AA,157,140,0.102,0.193,0.079,0.108,0.886,0.319,0.311,0.382,0.504,0.093,4,12,1,5,2,0.361,0.412,0.227,2022-06-01
sa3010170-AA-TEX,Blaine Crim,TEX,25,AA,185,135,0.184,0.258,0.102,0.092,0.956,0.333,0.314,0.384,0.572,0.217,10,11,0,2,0,0.357,0.38,0.264,2022-06-01
sa3010269-AA-PIT,Blake Sabol,PIT,24,AA,147,140,0.218,0.203,0.13,0.122,0.881,0.359,0.297,0.381,0.5,0.135,5,7,2,3,2,0.389,0.4,0.211,2022-06-01
sa3010273-AA-BOS,Wil Dalton,BOS,24,AA,67,144,0.358,0.246,0.15,0.119,0.899,0.419,0.281,0.373,0.526,0.15,3,5,0,3,0,0.588,0.265,0.147,2022-06-01
sa3010342-AA-WSN,Jackson Cluff,WSN,25,AA,134,22,0.425,0.089,0.173,0.06,0.443,0.246,0.145,0.209,0.234,0.071,2,5,0,3,2,0.418,0.343,0.239,2022-06-01
sa3010395-AA-CHC,Darius Hill,CHC,24,AA,201,121,0.119,0.178,0.074,0.065,0.846,0.329,0.308,0.36,0.486,0.088,6,13,1,3,2,0.43,0.418,0.152,2022-06-01
sa3010399-AA-PIT,Matt Gorski,PIT,24,AA,27,99,0.296,0.125,0.184,0.111,0.708,0.333,0.25,0.333,0.375,0.5,1,0,0,2,0,0.125,0.625,0.25,2022-06-01
sa3010401-AA-DET,Andre Lipcius,DET,24,AA,176,126,0.188,0.17,0.098,0.188,0.798,0.286,0.241,0.386,0.411,0.111,4,10,1,6,1,0.333,0.472,0.194,2022-06-01
sa3010584-AA-DET,Cooper Johnson,DET,24,AA,19,-38,0.526,0.0,0.18,0.158,0.158,0.0,0.0,0.158,0.0,0.0,0,0,0,0,0,0.5,0.5,0.0,2022-06-01
sa3010593-AA-ARI,Corbin Carroll,ARI,21,AA,193,155,0.254,0.327,0.092,0.155,1.035,0.344,0.288,0.42,0.615,0.375,12,7,4,15,1,0.296,0.481,0.222,2022-06-01
sa3010599-AA-DET,Jake Holton,DET,24,AA,26,57,0.308,0.0,0.132,0.038,0.525,0.333,0.217,0.308,0.217,0.0,0,0,0,0,0,0.357,0.286,0.357,2022-06-01
