Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Michael A. Taylor","KCR","AAA",31,2,8,9,2,2,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0.25,9,0.11111111,0.22222222,0.5,0.25,0.33333333,0.25,0.58333333,0,1.601190455357143,0.33333333,-0.021226444747298956,0.7732725825626566,-0.38927244278600664,0.2820258008109199,66.51549537453324,0.33333333,2,0,0.66666667,0.33333333,0.5,0,0.33333333,0,0.66666667,0.15625,13,19,32,"11489"
"Yolmer Sanchez","BOS","AAA",30,78,247,303,61,39,12,1,9,43,33,50,2,67,3,2,2,2,6,1,0.24696356,303,0.1650165,0.22112211,0.74626866,0.24696356,0.37748344,0.41295547,0.79043891,0.16599191,5.026619647294983,0.30057803,0.11106220167130232,45.150145348625195,6.011129495220201,0.35692023773988085,115.35840736960493,0.30057803,0.8630137,0.24022346,0.35195531,0.40782123,0.19178082,0.12328767,0.39459459,0.25405405,0.35135135,0.1011994,555,779,1334,"11602"
"Stefen Romero","LAD","AAA",33,28,100,118,27,16,8,0,3,18,22,11,0,23,4,2,2,1,1,0,0.27,118,0.09322034,0.19491525,0.47826087,0.27,0.35897436,0.44,0.79897436,0.17,4.085914212732565,0.31578947,0.06866739830002189,17.361736900208474,0.03174481451320532,0.3518114624879299,100.18317847092042,0.31578947,1.09677419,0.15584416,0.44155844,0.4025974,0.19354839,0.09677419,0.48101266,0.12658228,0.39240506,0.13232104,178,283,461,"11746"
"Alberto Baldonado","WSN","AAA",29,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,-100,0,,,,,,,,,,,,,,"11812"
"Yadiel Rivera","ARI","AAA",30,25,79,85,15,12,1,0,2,8,8,5,0,21,0,1,1,2,2,0,0.18987342,85,0.05882353,0.24705882,0.23809524,0.18987342,0.23529412,0.27848101,0.51377513,0.08860759,4.736247978427012,0.22807018,0.32797890016809106,2.8924345718121565,-9.591034303476807,0.2299252839649425,23.170118824405712,0.22807018,1.9375,0.20338983,0.52542373,0.27118644,0.25,0.125,0.49152542,0.13559322,0.37288136,0.15488215,107,190,297,"11863"
"Jon Berti","MIA","A",32,2,6,6,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.16666667,6,0,0.16666667,0,0.16666667,0.16666667,0.33333333,0.5,0.16666666,0.142857142857143,0.2,0,0.23977285743757734,-0.46076854943231094,0.22202326854070029,34.226793032679424,0.2,0.5,0.4,0.2,0.4,0.5,0,0.4,0.2,0.4,0.05,5,15,20,"12037"
"Jon Berti","MIA","AAA",32,4,14,17,1,1,0,0,0,2,0,3,0,7,0,0,0,0,1,0,0.07142857,17,0.17647059,0.41176471,0.42857143,0.07142857,0.23529412,0.07142857,0.30672269,0,6.785714285714286,0.14285714,0.1716980766505003,0.014397551558768568,-2.181520829655373,0.18103804658440983,0.6556505779968033,0.14285714,0.25,0.28571429,0.14285714,0.57142857,0.5,0,0.28571429,0.42857143,0.28571429,0.13888889,29,43,72,"12037"
"Niko Goodrum","HOU","CPX",30,4,11,14,4,2,2,0,0,5,3,3,0,5,0,0,0,0,1,0,0.36363636,14,0.21428571,0.35714286,0.6,0.36363636,0.5,0.54545455,1.04545455,0.18181819,6.59719141249985,0.66666667,0.1964031484676525,3.5599094994776648,1.6871217258685038,0.4954632818698883,190.0861138481885,0.66666667,0,0.5,0,0.5,0,0,0.5,0.16666667,0.33333333,0.44117647,13,21,34,"12092"
"Niko Goodrum","HOU","CPX",30,3,6,10,0,0,0,0,0,2,1,4,0,4,0,0,0,0,0,0,0,10,0.4,0.4,1,0,0.4,0,0.4,0,2.642857142857143,0,-0.0028774836100637913,1.061631812878677,-0.27607373969929533,0.30825817584991455,79.3621444444738,0,0,0,0,1,0.5,0,0.5,0.5,0,0.125,18,14,32,"12092"
"Niko Goodrum","HOU","AAA",30,13,45,62,14,9,3,0,2,12,5,17,0,14,0,0,0,0,2,0,0.31111111,62,0.27419355,0.22580645,1.21428571,0.31111111,0.5,0.51111111,1.01111111,0.2,4.761834585097992,0.4137931,0.2898500794544816,15.020405542246278,5.914816480270799,0.45432869945802995,164.95808717055772,0.4137931,1.625,0.27586207,0.44827586,0.27586207,0.125,0.25,0.58064516,0.12903226,0.29032258,0.08214286,128,152,280,"12092"
