idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3005152-A-MIA,Jan Mercado,MIA,22,A,16,0.067,0.5,0.067,0.062,0.646,0.571,0.267,0.312,0.333,1,0,0,0,0.0,0.571,0.571,18,2022-06-01
sa917319-AAA-NYM,Carlos Rincon,NYM,24,AAA,26,0.217,0.385,0.167,0.077,0.644,0.357,0.208,0.269,0.375,4,0,0,1,0.429,0.5,0.0,18,2022-06-01
sa3010153-A+-TEX,Cody Freeman,TEX,21,A+,56,0.7,0.071,0.1,0.089,0.644,0.234,0.24,0.304,0.34,3,1,0,1,0.362,0.447,0.17,18,2022-06-01
sa3009870-A+-SDP,Matthew Acosta,SDP,24,A+,39,0.31,0.179,0.111,0.051,0.643,0.267,0.25,0.282,0.361,2,1,0,0,0.367,0.467,0.167,18,2022-06-01
sa876328-A+-ARI,Tristin English,ARI,25,A+,48,0.217,0.375,0.163,0.062,0.643,0.28,0.209,0.271,0.372,3,2,1,0,0.4,0.44,0.2,18,2022-06-01
sa3008915-A-SFG,Alexander Suarez,SFG,20,A,31,0.397,0.29,0.231,0.065,0.643,0.118,0.154,0.258,0.385,2,2,2,0,0.588,0.412,0.0,18,2022-06-01
sa3017021-A+-BAL,Billy Cook,BAL,23,A+,55,0.214,0.364,0.156,0.127,0.642,0.269,0.178,0.309,0.333,4,1,4,0,0.577,0.346,0.077,18,2022-06-01
sa3006713-A+-WSN,Cole Daily,WSN,25,A+,49,0.153,0.163,0.05,0.163,0.642,0.281,0.225,0.367,0.275,2,0,5,0,0.375,0.469,0.156,18,2022-06-01
sa3015407-A-MIL,Jeferson Quero,MIL,19,A,49,0.136,0.184,0.05,0.184,0.642,0.29,0.225,0.367,0.275,2,0,3,0,0.355,0.452,0.194,18,2022-06-01
sa917127-AA-PHI,Jonathan Guzman,PHI,22,AA,51,0.217,0.235,0.102,0.02,0.642,0.333,0.265,0.275,0.367,4,0,3,0,0.41,0.487,0.103,18,2022-06-01
12174-AAA-PHI,Jorge Bonifacio,PHI,29,AAA,37,0.24,0.297,0.143,0.054,0.642,0.304,0.229,0.27,0.371,3,1,1,1,0.478,0.261,0.217,18,2022-06-01
sa3017734-A-CLE,Jake Fox,CLE,19,A,60,0.089,0.233,0.042,0.1,0.642,0.3,0.25,0.35,0.292,2,0,5,0,0.325,0.425,0.275,18,2022-06-01
15982-AAA-CHW,Ryder Jones,CHW,28,AAA,34,0.219,0.5,0.219,0.059,0.642,0.308,0.188,0.235,0.406,3,2,0,0,0.615,0.077,0.462,18,2022-06-01
sa3015673-A-NYM,Kevin Villavicencio,NYM,18,A,39,0.269,0.333,0.179,0.0,0.641,0.32,0.231,0.231,0.41,5,1,1,1,0.28,0.44,0.28,18,2022-06-01
20047-AAA-MIA,Brian Miller,MIA,26,AAA,13,0.181,0.231,0.083,0.077,0.641,0.333,0.25,0.308,0.333,1,0,0,0,0.444,0.333,0.333,18,2022-06-01
sa3010034-AAA-HOU,Korey Lee,HOU,23,AAA,44,0.253,0.386,0.195,0.045,0.64,0.273,0.195,0.25,0.39,4,2,0,0,0.455,0.273,0.227,18,2022-06-01
sa3017397-A-PIT,Brenden Dixon,PIT,21,A,58,0.074,0.293,0.043,0.207,0.64,0.345,0.217,0.379,0.261,1,0,2,0,0.345,0.379,0.276,18,2022-06-01
sa1169803-AAA-KCR,Clay Dungan,KCR,26,AAA,55,0.215,0.145,0.062,0.091,0.64,0.286,0.25,0.327,0.312,3,0,4,0,0.31,0.619,0.071,18,2022-06-01
sa829857-AAA-MIA,Bryson Brigman,MIA,27,AAA,38,0.14,0.211,0.059,0.079,0.639,0.321,0.265,0.316,0.324,2,0,1,1,0.429,0.464,0.071,18,2022-06-01
