idlevel,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
15608-AAA,Willians Astudillo,MIA,30,AAA,89,111.13847801971738,0.03370787,0.17857142,0.03703704,0.02247191,0.79012841,0.25974026,0.28571429,0.3258427,0.46428571,0.10526316,4,3,0,1,0,0.475,0.4,0.125,2022-05-26
15654-AAA,Billy McKinney,OAK,27,AAA,41,206.00024010161923,0.12195122,0.34375,0.08982036,0.2195122,1.23094512,0.375,0.375,0.51219512,0.71875,0.25,3,2,0,0,0,0.44444444,0.18518519,0.37037037,2022-05-26
15694-AAA,Chance Sisco,MIN,27,AAA,37,76.28298052226168,0.27027027,0.16129032,0.11801242,0.13513514,0.65213601,0.23809524,0.19354839,0.2972973,0.35483871,0.2,1,2,0,0,0,0.25,0.5,0.25,2022-05-26
15697-AAA,Gosuke Katoh,TOR,27,AAA,5,-100.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.25,0.75,0.0,2022-05-26
15697-AAA,Gosuke Katoh,NYM,27,AAA,20,-14.374766051344547,0.35,0.0,0.10869565,0.15,0.25882353,0.1,0.05882353,0.2,0.05882353,0.0,0,0,0,1,0,0.4,0.3,0.3,2022-05-26
15722-AAA,Allen Cordoba,CIN,26,AAA,101,50.88184639864855,0.17821782,0.1235955,0.14325069,0.05940594,0.54956057,0.17391304,0.16853933,0.25742574,0.29213483,0.09677419,3,2,0,9,3,0.46268657,0.35820896,0.17910448,2022-05-26
15808-AAA,Jose Godoy,MIN,27,AAA,47,70.79309504982099,0.34042553,0.04761905,0.12626263,0.10638298,0.60486323,0.38461538,0.23809524,0.31914894,0.28571429,0.0,0,2,0,0,0,0.23076923,0.61538462,0.15384615,2022-05-26
15817-AAA,Erick Mejia,SEA,27,AAA,163,101.11129784018618,0.18404908,0.20979021,0.0671875,0.11656442,0.80104463,0.27358491,0.25174825,0.33950617,0.46153846,0.18918919,7,7,1,9,1,0.32743363,0.46902655,0.20353982,2022-05-26
15878-AAA,Miguel Andujar,NYY,27,AAA,104,109.73336564890246,0.15384615,0.15463918,0.09793814,0.06730769,0.77983743,0.31168831,0.28865979,0.33653846,0.44329897,0.17391304,4,3,0,3,0,0.29487179,0.44871795,0.25641026,2022-05-26
15958-AAA,Travis Demeritte,ATL,27,AAA,52,157.93726223096144,0.23076923,0.34782608,0.11981567,0.11538462,0.9958194,0.34375,0.2826087,0.36538462,0.63043478,0.14285714,2,6,2,2,0,0.41176471,0.38235294,0.20588235,2022-05-26
15971-AAA,Ivan Castillo,KCR,27,AAA,130,81.34585288922906,0.06923077,0.06306307,0.06516854,0.12307692,0.64224381,0.25490196,0.24324324,0.3359375,0.30630631,0.02941176,1,4,0,2,3,0.33663366,0.48514851,0.17821782,2022-05-26
15982-AAA,Ryder Jones,CHW,28,AAA,126,77.42935524088956,0.28571429,0.12844037,0.13701431,0.08730159,0.65938547,0.28767123,0.2293578,0.3015873,0.35779817,0.17391304,4,2,0,0,1,0.30263158,0.44736842,0.25,2022-05-26
15983-AAA,Clint Frazier,CHC,27,AAA,27,42.30592847039332,0.14814815,0.08333333,0.08641975,0.11111111,0.50925926,0.2,0.16666667,0.25925926,0.25,0.0,0,2,0,0,0,0.38888889,0.5,0.11111111,2022-05-26
15988-AAA,Deivy Grullon,BOS,26,AAA,11,56.5486713154897,0.54545455,0.1,0.24,0.09090909,0.57272727,0.5,0.2,0.27272727,0.3,0.0,0,1,0,0,0,0.25,0.5,0.25,2022-05-26
15994-AAA,Kean Wong,LAA,27,AAA,156,86.8395200052989,0.17307692,0.04379562,0.10690789,0.10897436,0.70115104,0.35714286,0.2919708,0.36538462,0.33576642,0.0,0,4,1,10,2,0.21296296,0.53703704,0.25,2022-05-26
16042-AAA,Mark Payton,CHW,30,AAA,156,117.64355096342324,0.14102564,0.18439717,0.0991453,0.08974359,0.81647221,0.30701754,0.28368794,0.3483871,0.46808511,0.11904762,5,9,1,3,3,0.3559322,0.40677966,0.23728814,2022-05-26
16098-AAA,Taylor Gushue,WSN,28,AAA,34,74.28715249532216,0.29411765,0.07692308,0.15671642,0.20588235,0.62217195,0.29411765,0.19230769,0.35294118,0.26923077,0.0,0,2,0,0,0,0.41176471,0.35294118,0.23529412,2022-05-26
